# legacy_corrected Brio-Wu 400x8 structured, 400 bins, t=0.1, CFL 0.1; source benchmarks/raw/rp3_convergence/legacy_bw_400/brio_profile.csv
x rho u By p
0.35625 0.858887 0.265872 0.813864 0.739068
0.35875 0.852506 0.278431 0.805303 0.728217
0.36125 0.846094 0.291063 0.796727 0.717392
0.36375 0.839654 0.303758 0.788144 0.706604
0.36625 0.833192 0.316505 0.779565 0.695864
0.36875 0.826714 0.329293 0.770995 0.685174
0.37125 0.820223 0.34211 0.762444 0.67455
0.37375 0.813727 0.354945 0.753919 0.663998
0.37625 0.80723 0.367787 0.745429 0.653528
0.37875 0.800741 0.380619 0.736983 0.643154
0.38125 0.794267 0.393428 0.728591 0.632884
0.38375 0.787817 0.406195 0.720263 0.622736
0.38625 0.781404 0.418898 0.712014 0.612724
0.38875 0.775041 0.431512 0.703857 0.602871
0.39125 0.768745 0.444003 0.695814 0.593201
0.39375 0.76254 0.45633 0.687907 0.583745
0.39625 0.756455 0.468438 0.680169 0.574544
0.39875 0.750528 0.480255 0.672641 0.565651
0.40125 0.744811 0.491684 0.665379 0.557136
0.40375 0.739374 0.502595 0.658457 0.549098
0.40625 0.734309 0.512814 0.651976 0.541662
0.40875 0.729739 0.522109 0.646068 0.534993
0.41125 0.72582 0.530184 0.640904 0.52931
0.41375 0.722742 0.536678 0.636692 0.524873
0.41625 0.720714 0.541194 0.633661 0.521968
0.41875 0.719921 0.543372 0.632023 0.52086
0.42125 0.720468 0.542997 0.631909 0.521698
0.42375 0.722311 0.540133 0.633293 0.524423
0.42625 0.725217 0.535193 0.635949 0.528711
0.42875 0.728795 0.528893 0.639473 0.534003
0.43125 0.732592 0.522075 0.643372 0.539645
0.43375 0.736215 0.515489 0.647195 0.545054
0.43625 0.739412 0.509625 0.650628 0.549852
0.43875 0.74209 0.504686 0.653524 0.553896
0.44125 0.744268 0.500657 0.655868 0.557209
0.44375 0.746025 0.497409 0.657716 0.5599
0.44625 0.747452 0.494783 0.659155 0.562103
0.44875 0.748632 0.492623 0.660269 0.563941
0.45125 0.749637 0.490794 0.661136 0.565519
0.45375 0.750527 0.489176 0.661829 0.566933
0.45625 0.751355 0.487663 0.662407 0.568254
0.45875 0.752168 0.486156 0.662927 0.56956
0.46125 0.753016 0.484559 0.663428 0.570924
0.46375 0.753955 0.482772 0.663931 0.572434
0.46625 0.755057 0.480691 0.664411 0.574197
0.46875 0.756428 0.478193 0.664756 0.576383
0.47125 0.758253 0.4751 0.664686 0.579282
0.47375 0.760922 0.471026 0.663552 0.583513
0.47625 0.765536 0.464627 0.659388 0.590898
0.47875 0.776182 0.449782 0.642221 0.609472
0.48125 0.802514 0.407999 0.561915 0.671681
0.48375 0.831798 0.324266 0.303822 0.807232
0.48625 0.808562 0.238805 -0.170509 0.890108
0.48875 0.731854 0.224031 -0.633081 0.730454
0.49125 0.615703 0.278198 -0.849217 0.515144
0.49375 0.594623 0.31928 -0.844439 0.476926
0.49625 0.598278 0.323464 -0.823504 0.485548
0.49875 0.584968 0.319893 -0.858662 0.467278
0.50125 0.572375 0.345221 -0.852578 0.453227
0.50375 0.57262 0.36095 -0.830999 0.458261
0.50625 0.568238 0.367425 -0.835984 0.453736
0.50875 0.55835 0.390931 -0.834139 0.439821
