# AMReX Dai-Woodward n3, Nx=400, t=0.2; source /tmp/dw_n3.csv
x rho u By p
-0.49875 1.08 1.2 1.01554 0.95
-0.49375 1.08 1.2 1.01554 0.95
-0.48875 1.08 1.2 1.01554 0.95
-0.48375 1.08 1.2 1.01554 0.95
-0.47875 1.08 1.2 1.01554 0.95
-0.47375 1.08 1.2 1.01554 0.95
-0.46875 1.08 1.2 1.01554 0.95
-0.46375 1.08 1.2 1.01554 0.95
-0.45875 1.08 1.2 1.01554 0.95
-0.45375 1.08 1.2 1.01554 0.95
-0.44875 1.08 1.2 1.01554 0.95
-0.44375 1.08 1.2 1.01554 0.95
-0.43875 1.08 1.2 1.01554 0.95
-0.43375 1.08 1.2 1.01554 0.95
-0.42875 1.08 1.2 1.01554 0.95
-0.42375 1.08 1.2 1.01554 0.95
-0.41875 1.08 1.2 1.01554 0.95
-0.41375 1.08 1.2 1.01554 0.95
-0.40875 1.08 1.2 1.01554 0.95
-0.40375 1.08 1.2 1.01554 0.95
-0.39875 1.08 1.2 1.01554 0.95
-0.39375 1.08 1.2 1.01554 0.95
-0.38875 1.08 1.2 1.01554 0.95
-0.38375 1.08 1.2 1.01554 0.95
-0.37875 1.08 1.2 1.01554 0.95
-0.37375 1.08 1.2 1.01554 0.95
-0.36875 1.08 1.2 1.01554 0.95
-0.36375 1.08 1.2 1.01554 0.95
-0.35875 1.08 1.2 1.01554 0.95
-0.35375 1.08 1.2 1.01554 0.95
-0.34875 1.08 1.2 1.01554 0.95
-0.34375 1.08 1.2 1.01554 0.95
-0.33875 1.08 1.2 1.01554 0.95
-0.33375 1.08 1.2 1.01554 0.95
-0.32875 1.08 1.2 1.01554 0.95
-0.32375 1.08 1.2 1.01554 0.95
-0.31875 1.08 1.2 1.01554 0.95
-0.31375 1.08 1.2 1.01554 0.95
-0.30875 1.08 1.2 1.01554 0.95
-0.30375 1.08 1.2 1.01554 0.95
-0.29875 1.08 1.2 1.01554 0.95
-0.29375 1.08 1.2 1.01554 0.95
-0.28875 1.08 1.2 1.01554 0.95
-0.28375 1.08 1.2 1.01554 0.95
-0.27875 1.08 1.2 1.01554 0.95
-0.27375 1.08 1.2 1.01554 0.95
-0.26875 1.08 1.2 1.01554 0.95
-0.26375 1.08 1.2 1.01554 0.95
-0.25875 1.08 1.2 1.01554 0.95
-0.25375 1.08 1.2 1.01554 0.95
-0.24875 1.08 1.2 1.01554 0.95
-0.24375 1.08 1.2 1.01554 0.95
-0.23875 1.08 1.2 1.01554 0.95
-0.23375 1.08 1.2 1.01554 0.95
-0.22875 1.08 1.2 1.01554 0.95
-0.22375 1.08 1.2 1.01554 0.95
-0.21875 1.08 1.2 1.01554 0.95
-0.21375 1.08 1.2 1.01554 0.95
-0.20875 1.15978 1.06487 1.12549 1.07748
-0.20375 1.40229 0.725846 1.45357 1.48737
-0.19875 1.39601 0.676185 1.44209 1.47584
-0.19375 1.39355 0.679272 1.44166 1.47322
-0.18875 1.40793 0.698097 1.45902 1.49793
-0.18375 1.40426 0.692703 1.45494 1.49175
-0.17875 1.39536 0.679278 1.44289 1.47589
-0.17375 1.39973 0.685672 1.44872 1.48368
-0.16875 1.40517 0.694259 1.45598 1.49329
-0.16375 1.40039 0.687984 1.44953 1.48484
-0.15875 1.39708 0.683453 1.44521 1.47892
-0.15375 1.40177 0.689772 1.45129 1.48717
-0.14875 1.40349 0.691473 1.45357 1.49024
-0.14375 1.39959 0.685225 1.44848 1.48337
-0.13875 1.39916 0.685077 1.44795 1.48263
-0.13375 1.40217 0.690474 1.45191 1.48792
-0.12875 1.40159 0.690194 1.45114 1.4869
-0.12375 1.39918 0.686165 1.448 1.4827
-0.11875 1.40024 0.686848 1.44937 1.4846
-0.11375 1.40221 0.689287 1.45191 1.48809
-0.10875 1.40121 0.688009 1.45055 1.48628
-0.10375 1.39997 0.686509 1.44888 1.48408
-0.09875 1.40078 0.68817 1.44996 1.48551
-0.09375 1.40127 0.689432 1.45063 1.48639
-0.08875 1.40025 0.68807 1.44926 1.48456
-0.08375 1.40006 0.687491 1.44903 1.48418
-0.07875 1.40097 0.688682 1.45043 1.4858
-0.07375 1.401 0.6888 1.45047 1.48588
-0.06875 1.40029 0.687711 1.44877 1.48469
-0.06375 1.40034 0.687632 1.44825 1.4848
-0.05875 1.40098 0.688124 1.45696 1.486
-0.05375 1.4015 0.6876 1.52626 1.48712
-0.04875 1.40124 0.686526 1.57651 1.48679
-0.04375 1.40112 0.687011 1.58858 1.4866
-0.03875 1.40138 0.688083 1.58998 1.48707
-0.03375 1.40084 0.687673 1.58851 1.48609
-0.02875 1.40082 0.687384 1.58796 1.48603
-0.02375 1.40122 0.687806 1.58915 1.48674
-0.01875 1.4016 0.687815 1.58914 1.4874
-0.01375 1.40167 0.687218 1.58818 1.4875
-0.00875 1.40154 0.687354 1.5882 1.48721
-0.00375 1.47138 0.657357 1.52608 1.61332
0.00125 1.64864 0.578836 1.34689 1.95798
0.00625 1.66418 0.578274 1.34628 1.98179
0.01125 1.664 0.578341 1.34643 1.98144
0.01625 1.66407 0.578312 1.34632 1.98162
0.02125 1.66408 0.578302 1.34631 1.98161
0.02625 1.66406 0.578306 1.34635 1.98151
0.03125 1.66382 0.578289 1.34637 1.98146
0.03625 1.66126 0.578252 1.34639 1.98139
0.04125 1.65788 0.578228 1.34635 1.98127
0.04625 1.65856 0.57823 1.34629 1.98122
0.05125 1.66197 0.578231 1.34625 1.98123
0.05625 1.66279 0.578245 1.34623 1.98128
0.06125 1.6625 0.578279 1.34627 1.98135
0.06625 1.66229 0.578312 1.34639 1.98137
0.07125 1.66215 0.578326 1.34657 1.98123
0.07625 1.66172 0.578305 1.34671 1.98105
0.08125 1.66127 0.578308 1.34666 1.98104
0.08625 1.66098 0.578381 1.34632 1.98151
0.09125 1.66117 0.578611 1.3456 1.98259
0.09625 1.66214 0.578831 1.34491 1.98372
0.10125 1.66186 0.578777 1.34481 1.98362
0.10625 1.65316 0.578476 1.34532 1.9824
0.11125 1.61526 0.577959 1.34662 1.97986
0.11625 1.54733 0.577759 1.34711 1.97903
0.12125 1.49187 0.57787 1.34681 1.9796
0.12625 1.49062 0.578222 1.34584 1.98141
0.13125 1.49342 0.578356 1.34537 1.98216
0.13625 1.49635 0.578312 1.34552 1.98192
0.14125 1.49631 0.578168 1.34603 1.98112
0.14625 1.49578 0.578107 1.34625 1.98073
0.15125 1.49559 0.578119 1.34617 1.9808
0.15625 1.49569 0.57818 1.34607 1.98099
0.16125 1.49591 0.578255 1.34619 1.9812
0.16625 1.49606 0.578391 1.34647 1.98139
0.17125 1.49617 0.578475 1.3465 1.98149
0.17625 1.49632 0.578385 1.34625 1.98161
0.18125 1.49619 0.578115 1.34573 1.98101
0.18625 1.49591 0.577527 1.34549 1.98017
0.19125 1.49567 0.577418 1.34544 1.97942
0.19625 1.49595 0.577517 1.34581 1.97985
0.20125 1.49654 0.578283 1.34612 1.98102
0.20625 1.49726 0.579093 1.34655 1.98247
0.21125 1.49779 0.579053 1.34703 1.98349
0.21625 1.49715 0.579454 1.34627 1.98196
0.22125 1.4978 0.577737 1.34684 1.98328
0.22625 1.49561 0.579127 1.34524 1.97837
0.23125 1.49329 0.573163 1.35214 1.97318
0.23625 1.44522 0.553958 1.40406 1.86866
0.24125 1.2895 0.479012 1.56033 1.54165
0.24625 1.23753 0.450243 1.61101 1.43795
0.25125 1.23815 0.450283 1.61047 1.43913
0.25625 1.23842 0.450181 1.60997 1.43965
0.26125 1.23807 0.449904 1.61006 1.43895
0.26625 1.23765 0.449711 1.61049 1.43812
0.27125 1.23765 0.449899 1.61065 1.43811
0.27625 1.23784 0.450229 1.61008 1.43846
0.28125 1.23793 0.450384 1.6069 1.43864
0.28625 1.23784 0.450334 1.59762 1.43846
0.29125 1.23766 0.450182 1.57773 1.4381
0.29625 1.2374 0.44995 1.54523 1.43754
0.30125 1.23732 0.449967 1.50985 1.43722
0.30625 1.23756 0.450138 1.50261 1.43759
0.31125 1.23756 0.450147 1.50275 1.43758
0.31625 1.23756 0.450147 1.50323 1.43757
0.32125 1.23755 0.450136 1.50386 1.43754
0.32625 1.23755 0.450113 1.50409 1.43753
0.33125 1.23753 0.450093 1.50407 1.4375
0.33625 1.23753 0.45009 1.50403 1.43749
0.34125 1.23754 0.450104 1.50401 1.4375
0.34625 1.23756 0.450134 1.50402 1.43753
0.35125 1.23757 0.450155 1.50405 1.43755
0.35625 1.23757 0.450152 1.50405 1.43755
0.36125 1.23755 0.450117 1.50403 1.43751
0.36625 1.23751 0.450038 1.50396 1.43742
0.37125 1.23745 0.449945 1.50389 1.43732
0.37625 1.23744 0.449926 1.50387 1.43729
0.38125 1.23745 0.449942 1.50389 1.4373
0.38625 1.23746 0.449981 1.50393 1.43734
0.39125 1.23747 0.449992 1.50394 1.43735
0.39625 1.23745 0.449967 1.50393 1.43732
0.40125 1.2374 0.449891 1.50386 1.43724
0.40625 1.23734 0.449782 1.50377 1.43712
0.41125 1.23731 0.449741 1.50372 1.43707
0.41625 1.23732 0.449745 1.50373 1.43709
0.42125 1.23735 0.449796 1.50377 1.43715
0.42625 1.23742 0.449918 1.50386 1.43727
0.43125 1.23753 0.450069 1.50404 1.4375
0.43625 1.23758 0.450273 1.50411 1.43759
0.44125 1.23773 0.450189 1.50435 1.43789
0.44625 1.23746 0.450852 1.50393 1.43736
0.45125 1.2385 0.449119 1.50555 1.43938
0.45625 1.2347 0.451765 1.4997 1.43201
0.46125 1.23417 0.433914 1.49896 1.43095
0.46625 1.21153 0.400083 1.46389 1.38753
0.47125 1.05847 0.116849 1.22323 1.10336
0.47625 1 -6.10215e-10 1.12838 1
0.48125 1 -1.64491e-10 1.12838 1
0.48625 1 0 1.12838 1
0.49125 1 0 1.12838 1
0.49625 1 0 1.12838 1
