# independent Kurganov-Tadmor reference, Nx=6400, t=0.1, CFL 0.4; source benchmarks/raw/report_inputs/bw_kt_6400.csv
x rho u By p
0.462578 0.676994 0.635198 0.585942 0.458322
0.465078 0.676995 0.635196 0.585948 0.458322
0.467578 0.676993 0.635203 0.585938 0.45832
0.470078 0.731596 0.584029 0.487598 0.53462
0.472578 0.751723 0.543765 -0.431825 0.59548
0.475078 0.751534 0.543109 -0.431514 0.59518
0.477578 0.744831 0.549899 -0.446344 0.584614
0.480078 0.730676 0.564562 -0.47599 0.562603
0.482578 0.715386 0.580578 -0.505517 0.539306
0.485078 0.700066 0.596819 -0.532892 0.516456
0.487578 0.69771 0.59934 -0.536932 0.512982
0.490078 0.698794 0.598165 -0.535071 0.514576
0.492578 0.699099 0.597832 -0.534542 0.515025
0.495078 0.699198 0.597728 -0.534369 0.515168
0.497578 0.699234 0.597689 -0.534312 0.515216
0.500078 0.69924 0.597681 -0.534299 0.515225
0.502578 0.699257 0.597667 -0.534277 0.515241
0.505078 0.699261 0.597661 -0.534254 0.515253
0.507578 0.699257 0.597665 -0.53426 0.515244
0.510078 0.699257 0.597667 -0.534259 0.515241
0.512578 0.699272 0.597656 -0.534254 0.515255
0.515078 0.699273 0.597654 -0.534248 0.515255
0.517578 0.699278 0.597651 -0.534242 0.515256
0.520078 0.69929 0.597655 -0.534245 0.515254
0.522578 0.699298 0.597654 -0.534239 0.515255
0.525078 0.699309 0.597654 -0.534238 0.515253
0.527578 0.699319 0.597654 -0.534237 0.515253
0.530078 0.699356 0.597652 -0.534241 0.515257
0.532578 0.699322 0.597655 -0.534235 0.515256
0.535078 0.699332 0.597653 -0.534238 0.515253
0.537578 0.699335 0.597657 -0.534239 0.515251
0.540078 0.699357 0.597656 -0.534237 0.515252
0.542578 0.699364 0.59765 -0.534244 0.515253
0.545078 0.699347 0.597659 -0.534239 0.515247
0.547578 0.69931 0.59765 -0.534242 0.515254
0.550078 0.699227 0.597659 -0.534238 0.515246
0.552578 0.698576 0.59766 -0.534243 0.515241
0.555078 0.696514 0.597639 -0.534253 0.515261
0.557578 0.690846 0.597692 -0.534223 0.515215
0.560078 0.377175 0.597649 -0.534248 0.515248
0.562578 0.233404 0.597656 -0.534247 0.515246
0.565078 0.235253 0.597654 -0.534254 0.51524
0.567578 0.235469 0.597656 -0.53425 0.515245
0.570078 0.234908 0.59766 -0.53425 0.515248
0.572578 0.234962 0.597638 -0.534248 0.515238
0.575078 0.235 0.597653 -0.534247 0.515244
0.577578 0.235034 0.597643 -0.534244 0.515241
0.580078 0.235114 0.597661 -0.534247 0.515249
0.582578 0.23519 0.597667 -0.53425 0.515251
