# legacy_corrected HLLD (N0) Dai-Woodward, Nx=400, t=0.2; source benchmarks/raw/legacy_corrected/riemann_1d_n400/dai_woodward_1d.csv
x rho u By p
-0.17125 1.40089 0.687771 1.45019 1.48579
-0.16875 1.4009 0.687764 1.4502 1.4858
-0.16625 1.4009 0.687763 1.4502 1.4858
-0.16375 1.4009 0.687764 1.4502 1.4858
-0.16125 1.4009 0.687766 1.45019 1.4858
-0.15875 1.4009 0.687768 1.45019 1.4858
-0.15625 1.40089 0.687771 1.45019 1.4858
-0.15375 1.40089 0.687774 1.45018 1.4858
-0.15125 1.40089 0.687776 1.45018 1.4858
-0.14875 1.40089 0.687779 1.45017 1.4858
-0.14625 1.40089 0.687781 1.45017 1.4858
-0.14375 1.40089 0.687783 1.45016 1.4858
-0.14125 1.40089 0.687785 1.45016 1.4858
-0.13875 1.40089 0.687787 1.45016 1.4858
-0.13625 1.40089 0.687788 1.45015 1.4858
-0.13375 1.40089 0.68779 1.45015 1.4858
-0.13125 1.40089 0.687791 1.45014 1.4858
-0.12875 1.40089 0.687792 1.45014 1.48581
-0.12625 1.40089 0.687793 1.45014 1.48581
-0.12375 1.40089 0.687793 1.45013 1.48581
-0.12125 1.40089 0.687794 1.45013 1.48582
-0.11875 1.40089 0.687794 1.45012 1.48582
-0.11625 1.40089 0.687794 1.45012 1.48583
-0.11375 1.40089 0.687794 1.45011 1.48583
-0.11125 1.40089 0.687794 1.45011 1.48584
-0.10875 1.4009 0.687793 1.4501 1.48585
-0.10625 1.4009 0.687793 1.4501 1.48585
-0.10375 1.4009 0.687792 1.4501 1.48586
-0.10125 1.40091 0.687791 1.4501 1.48587
-0.09875 1.40091 0.687789 1.4501 1.48588
-0.09625 1.40091 0.687788 1.45012 1.4859
-0.09375 1.40092 0.687786 1.45016 1.48591
-0.09125 1.40092 0.687783 1.45025 1.48592
-0.08875 1.40093 0.687781 1.4504 1.48594
-0.08625 1.40094 0.687778 1.45066 1.48595
-0.08375 1.40095 0.687774 1.4511 1.48597
-0.08125 1.40095 0.68777 1.45182 1.486
-0.07875 1.40097 0.687765 1.45296 1.48602
-0.07625 1.40098 0.687758 1.45469 1.48606
-0.07375 1.401 0.687748 1.45722 1.48611
-0.07125 1.40103 0.687733 1.46079 1.48618
-0.06875 1.40107 0.687712 1.46564 1.48629
-0.06625 1.40112 0.68768 1.47197 1.48645
-0.06375 1.4012 0.687633 1.47987 1.48668
-0.06125 1.40131 0.687569 1.4893 1.48699
-0.05875 1.40145 0.687487 1.50007 1.48738
-0.05625 1.40162 0.687387 1.51177 1.48786
-0.05375 1.4018 0.687273 1.52389 1.48838
-0.05125 1.40199 0.687154 1.53582 1.48891
-0.04875 1.40218 0.687036 1.54699 1.48943
-0.04625 1.40237 0.686926 1.55691 1.48989
-0.04375 1.40254 0.686825 1.56528 1.49031
-0.04125 1.40272 0.68673 1.57196 1.4907
