# AMReX Dai-Woodward ref, Nx=2048, t=0.2; source benchmarks/raw/report_inputs/dw_ref_2048.csv
x rho u By p
-0.164795 1.40058 0.688337 1.44984 1.48526
-0.162354 1.40049 0.688097 1.4498 1.48513
-0.159912 1.40084 0.687807 1.45028 1.48572
-0.157471 1.40103 0.687578 1.4505 1.48602
-0.155029 1.40101 0.687548 1.45034 1.48592
-0.152588 1.40097 0.687811 1.45018 1.48583
-0.150146 1.40094 0.687876 1.45011 1.48574
-0.147705 1.40085 0.687861 1.45007 1.48563
-0.144775 1.40079 0.687929 1.45009 1.48556
-0.142334 1.40069 0.688026 1.45007 1.48545
-0.139893 1.40066 0.68804 1.45 1.48536
-0.137451 1.40068 0.688058 1.44998 1.48538
-0.13501 1.40076 0.688061 1.44997 1.48543
-0.132568 1.4008 0.68803 1.44994 1.48546
-0.130127 1.40082 0.688023 1.44996 1.48547
-0.127686 1.40077 0.688042 1.44997 1.48544
-0.124756 1.4007 0.688064 1.44996 1.4854
-0.122314 1.40066 0.688062 1.44993 1.48543
-0.119873 1.40069 0.688045 1.44992 1.48552
-0.117432 1.40065 0.688079 1.44989 1.48545
-0.11499 1.40058 0.688171 1.44986 1.48527
-0.112549 1.40059 0.688157 1.44993 1.48524
-0.110107 1.4007 0.688032 1.45006 1.48535
-0.107666 1.40074 0.687989 1.4501 1.48539
-0.105225 1.40075 0.68803 1.45004 1.48536
-0.102295 1.40089 0.687836 1.45017 1.48563
-0.0998535 1.40089 0.687853 1.45014 1.48566
-0.0974121 1.40069 0.688107 1.44992 1.48535
-0.0949707 1.4006 0.688163 1.44991 1.48524
-0.0925293 1.40057 0.688159 1.44993 1.48525
-0.0900879 1.40057 0.688175 1.44988 1.48528
-0.0876465 1.40062 0.688149 1.44984 1.48538
-0.0852051 1.40079 0.687936 1.45 1.48566
-0.0822754 1.40113 0.687455 1.45046 1.48619
-0.079834 1.40109 0.687516 1.45044 1.48608
-0.0773926 1.40083 0.687839 1.45019 1.48563
-0.0749512 1.40071 0.687928 1.45014 1.48548
-0.0725098 1.40066 0.687943 1.45014 1.48545
-0.0700684 1.40066 0.687916 1.45014 1.4855
-0.067627 1.40071 0.687909 1.45008 1.48558
-0.0651855 1.40074 0.687978 1.44997 1.48555
-0.0622559 1.40077 0.688012 1.44995 1.48549
-0.0598145 1.40078 0.688044 1.45005 1.48541
-0.057373 1.40076 0.688067 1.44969 1.48533
-0.0549316 1.40071 0.688099 1.45222 1.48523
-0.0524902 1.40086 0.687983 1.55756 1.48561
-0.0500488 1.40089 0.687999 1.58779 1.48568
-0.0476074 1.40089 0.688002 1.58896 1.48573
-0.045166 1.40085 0.687989 1.58908 1.48571
-0.0427246 1.40072 0.68814 1.58891 1.48553
-0.0397949 1.40072 0.688076 1.58891 1.48558
-0.0373535 1.4008 0.687973 1.58888 1.48571
-0.0349121 1.40073 0.688068 1.58861 1.48553
-0.0324707 1.40095 0.687822 1.58931 1.48585
-0.0300293 1.40091 0.687951 1.58914 1.48572
-0.0275879 1.40101 0.687884 1.58906 1.48588
-0.0251465 1.40111 0.687695 1.58924 1.48613
-0.0227051 1.40088 0.687891 1.58887 1.48583
-0.0197754 1.40077 0.687992 1.58871 1.48576
-0.017334 1.40061 0.688195 1.58892 1.48553
-0.0148926 1.40062 0.688187 1.5888 1.48553
-0.0124512 1.40073 0.688049 1.58887 1.48567
-0.0100098 1.40092 0.687879 1.58897 1.48595
-0.00756836 1.40119 0.687549 1.58883 1.48636
-0.00512695 1.40152 0.687107 1.58962 1.4869
-0.00268555 1.40627 0.688039 1.57824 1.49529
0.000244141 1.66417 0.578197 1.34609 1.9813
0.00268555 1.66409 0.578206 1.34618 1.98114
0.00512695 1.66366 0.578225 1.34618 1.98107
0.00756836 1.66293 0.578244 1.34624 1.98104
0.0100098 1.65871 0.578178 1.34641 1.98068
0.0124512 1.66473 0.578065 1.3468 1.98004
0.0148926 1.6631 0.578029 1.3468 1.98
0.017334 1.65718 0.578018 1.34627 1.98046
0.0197754 1.66395 0.578535 1.34496 1.98297
0.0227051 1.66225 0.578103 1.34675 1.9801
0.0251465 1.66265 0.578221 1.34643 1.98081
0.0275879 1.66327 0.578455 1.34584 1.98195
0.0300293 1.66273 0.578214 1.34641 1.98077
0.0324707 1.66304 0.578353 1.34608 1.98138
0.0349121 1.66204 0.578205 1.34642 1.98073
0.0373535 1.66125 0.5783 1.34603 1.98131
0.0397949 1.66546 0.578252 1.34592 1.98132
0.0427246 1.66344 0.57834 1.34601 1.98146
0.045166 1.65955 0.578429 1.34605 1.9816
0.0476074 1.6625 0.5784 1.34604 1.98154
0.0500488 1.66333 0.578272 1.34591 1.98135
0.0524902 1.66318 0.578255 1.34589 1.98133
0.0549316 1.66322 0.578312 1.34595 1.98141
0.057373 1.66305 0.578333 1.346 1.98141
0.0598145 1.66292 0.578335 1.34611 1.98133
0.0627441 1.66277 0.57819 1.34612 1.98095
0.0651855 1.66255 0.578181 1.34611 1.98094
0.067627 1.66104 0.578294 1.34622 1.98115
0.0700684 1.66141 0.578245 1.34619 1.98106
0.0725098 1.66358 0.578264 1.34621 1.98109
0.0749512 1.66198 0.578253 1.34622 1.98104
0.0773926 1.6631 0.578265 1.34628 1.98101
0.079834 1.66207 0.578218 1.34642 1.98078
0.0822754 1.65912 0.578047 1.34684 1.97997
0.0852051 1.66234 0.578046 1.34683 1.97999
0.0876465 1.66284 0.578412 1.34584 1.98184
0.0900879 1.66203 0.578458 1.3457 1.98206
0.0925293 1.66261 0.578211 1.34633 1.98086
0.0949707 1.66414 0.578301 1.34606 1.98138
0.0974121 1.66375 0.578322 1.346 1.98148
0.0998535 1.66158 0.578224 1.3463 1.98093
0.102295 1.66045 0.578254 1.34623 1.98105
0.105225 1.66206 0.578253 1.34614 1.98106
0.107666 1.66189 0.578232 1.3462 1.98097
0.110107 1.66082 0.578233 1.34625 1.98097
0.112549 1.65238 0.578238 1.34618 1.98099
0.11499 1.59804 0.578247 1.34619 1.98101
0.117432 1.49675 0.57823 1.3462 1.98099
0.119873 1.49412 0.578206 1.34617 1.98095
0.122314 1.49598 0.578237 1.34621 1.98099
0.125244 1.49589 0.578284 1.34622 1.98107
0.127686 1.49605 0.578272 1.3462 1.98105
0.130127 1.49638 0.578271 1.34618 1.98106
0.132568 1.4966 0.578282 1.34617 1.98111
0.13501 1.49675 0.578281 1.34616 1.98111
0.137451 1.49685 0.578276 1.34618 1.98109
0.139893 1.49694 0.578272 1.34618 1.98108
0.142334 1.49699 0.578267 1.34619 1.98107
0.144775 1.49701 0.578254 1.34621 1.98101
0.147705 1.49703 0.578243 1.34623 1.98096
0.150146 1.49714 0.578288 1.34613 1.98116
0.152588 1.49747 0.578433 1.34578 1.98184
0.155029 1.4977 0.578523 1.34558 1.98228
0.157471 1.49743 0.578389 1.34594 1.98163
0.159912 1.49692 0.578133 1.34655 1.98046
0.162354 1.49703 0.578125 1.34629 1.98068
0.164795 1.49731 0.57824 1.34596 1.98127
0.167725 1.49727 0.578312 1.34626 1.98117
0.170166 1.49728 0.578354 1.34629 1.98122
0.172607 1.49723 0.578306 1.34619 1.98115
0.175049 1.49719 0.578288 1.34611 1.98113
0.17749 1.49729 0.578354 1.34599 1.98142
0.179932 1.49728 0.578325 1.34596 1.98143
0.182373 1.4971 0.578126 1.3459 1.981
0.184814 1.497 0.578028 1.34587 1.98077
0.187744 1.49727 0.578377 1.34619 1.98134
0.190186 1.49743 0.578565 1.34632 1.98167
0.192627 1.49724 0.578296 1.34607 1.98124
0.195068 1.49707 0.578075 1.3459 1.98085
0.19751 1.49716 0.578218 1.34611 1.98104
0.199951 1.49727 0.578401 1.34633 1.98129
0.202393 1.49724 0.578359 1.34629 1.98122
0.204834 1.49721 0.578312 1.34626 1.98114
0.207275 1.49718 0.578269 1.34626 1.98103
0.210205 1.49708 0.578141 1.34624 1.98076
0.212646 1.49706 0.57813 1.34633 1.98067
0.215088 1.49707 0.578155 1.34637 1.98067
0.217529 1.4971 0.57817 1.34629 1.98073
