# AMReX N0 (const+Euler+BS), Nx=400, t=0.1, CFL 0.1; source benchmarks/raw/report_inputs/bw_n0_400.csv
x rho u By p
0.69125 0.117231 -0.232548 -0.905232 0.0881254
0.69625 0.117234 -0.232435 -0.905283 0.0881285
0.70125 0.117238 -0.232312 -0.905338 0.088132
0.70625 0.117242 -0.232179 -0.905397 0.088136
0.71125 0.117247 -0.23203 -0.905462 0.0881406
0.71625 0.117252 -0.231863 -0.905535 0.088146
0.72125 0.117258 -0.23167 -0.905619 0.0881523
0.72625 0.117266 -0.231443 -0.905718 0.0881598
0.73125 0.117275 -0.23117 -0.905835 0.088169
0.73625 0.117286 -0.230833 -0.90598 0.0881804
0.74125 0.117299 -0.230411 -0.906162 0.0881949
0.74625 0.117317 -0.22987 -0.906393 0.0882134
0.75125 0.11734 -0.229171 -0.906692 0.0882376
0.75625 0.117369 -0.228261 -0.907081 0.0882695
0.76125 0.117408 -0.227073 -0.907587 0.0883117
0.76625 0.117459 -0.225529 -0.908243 0.0883677
0.77125 0.117524 -0.22354 -0.909086 0.0884413
0.77625 0.117607 -0.221009 -0.910156 0.0885373
0.78125 0.11771 -0.217838 -0.911492 0.0886605
0.78625 0.117839 -0.213932 -0.913133 0.0888162
0.79125 0.117994 -0.209208 -0.915111 0.0890091
0.79625 0.118178 -0.203606 -0.917449 0.0892435
0.80125 0.118393 -0.197088 -0.920163 0.0895226
0.80625 0.118638 -0.189647 -0.923251 0.0898483
0.81125 0.118913 -0.181308 -0.926703 0.0902211
0.81625 0.119217 -0.172127 -0.930493 0.09064
0.82125 0.119546 -0.162191 -0.934584 0.0911023
0.82625 0.119898 -0.151609 -0.938931 0.0916041
0.83125 0.120267 -0.140515 -0.943478 0.0921401
0.83625 0.120649 -0.129054 -0.948165 0.0927039
0.84125 0.121038 -0.117387 -0.952925 0.0932886
0.84625 0.12143 -0.105677 -0.957692 0.0938862
0.85125 0.121818 -0.094091 -0.962398 0.0944885
0.85625 0.122198 -0.0827905 -0.966977 0.0950872
